,gender,response,treatment
0,MALE,0,0
1,FEMALE,0,1
2,MALE,0,0
3,MALE,0,1
4,FEMALE,0,1
5,FEMALE,0,1
6,MALE,0,1
7,FEMALE,0,1
8,MALE,0,1
9,MALE,0,1
10,FEMALE,0,0
11,MALE,0,0
12,FEMALE,0,1
13,FEMALE,0,0
14,FEMALE,0,1
15,MALE,0,0
16,FEMALE,0,1
17,MALE,0,0
18,MALE,0,1
19,FEMALE,0,0
20,MALE,0,1
21,MALE,0,0
22,MALE,0,1
23,MALE,0,1
24,MALE,0,0
25,FEMALE,0,0
26,MALE,0,0
27,MALE,1,0
28,FEMALE,0,1
29,FEMALE,0,0
30,MALE,0,1
31,MALE,0,0
32,FEMALE,1,1
33,FEMALE,1,0
34,MALE,0,0
35,MALE,0,0
36,MALE,1,0
37,FEMALE,1,0
38,FEMALE,0,1
39,FEMALE,0,1
40,MALE,0,0
41,FEMALE,0,1
42,MALE,0,0
43,FEMALE,0,1
44,FEMALE,0,0
45,FEMALE,0,0
46,MALE,0,1
47,FEMALE,1,1
48,MALE,0,0
49,FEMALE,0,1
50,MALE,0,0
51,FEMALE,1,0
52,MALE,0,1
53,FEMALE,0,1
54,FEMALE,0,1
55,FEMALE,0,0
56,MALE,1,0
57,FEMALE,1,1
58,FEMALE,0,0
59,MALE,1,1
60,MALE,0,0
61,FEMALE,0,1
62,MALE,0,1
63,MALE,0,1
64,MALE,0,1
65,MALE,0,1
66,MALE,0,0
67,MALE,1,1
68,FEMALE,0,1
69,MALE,0,0
70,MALE,0,0
71,MALE,0,0
72,MALE,0,1
73,MALE,0,1
74,FEMALE,0,1
75,MALE,0,1
76,MALE,0,1
77,MALE,0,1
78,MALE,0,1
79,MALE,0,0
80,MALE,0,0
81,FEMALE,0,1
82,MALE,0,1
83,FEMALE,0,0
84,FEMALE,0,0
85,FEMALE,0,1
86,MALE,0,0
87,FEMALE,0,0
88,FEMALE,0,0
89,MALE,0,1
90,MALE,0,0
91,MALE,0,0
92,MALE,0,0
93,MALE,0,1
94,MALE,0,0
95,MALE,0,0
96,MALE,0,0
97,MALE,0,0
98,FEMALE,1,1
99,MALE,0,0
100,MALE,0,0
101,FEMALE,0,0
102,MALE,0,0
103,MALE,1,1
104,MALE,0,1
105,MALE,0,1
106,MALE,0,0
107,MALE,0,0
108,FEMALE,0,1
109,FEMALE,0,1
110,MALE,0,0
111,FEMALE,0,0
112,FEMALE,0,1
113,MALE,1,1
114,MALE,1,1
115,FEMALE,1,0
116,MALE,0,0
117,FEMALE,1,0
118,MALE,0,0
119,FEMALE,0,1
120,MALE,0,1
121,MALE,0,0
122,MALE,0,0
123,MALE,0,1
124,MALE,1,1
125,FEMALE,0,0
126,MALE,0,1
127,MALE,0,0
128,MALE,1,1
129,MALE,0,0
130,FEMALE,0,1
131,MALE,0,0
132,MALE,0,1
133,MALE,0,1
134,MALE,0,1
135,MALE,0,0
136,MALE,0,1
137,MALE,1,0
138,FEMALE,0,0
139,MALE,0,1
140,FEMALE,0,0
141,FEMALE,0,0
142,FEMALE,0,1
143,MALE,1,1
144,FEMALE,1,1
145,MALE,0,0
146,FEMALE,0,0
147,MALE,0,1
148,FEMALE,0,0
149,MALE,0,1
150,MALE,0,1
151,FEMALE,1,0
152,FEMALE,0,1
153,MALE,1,0
154,FEMALE,0,0
155,FEMALE,0,0
156,FEMALE,0,0
157,FEMALE,0,1
158,MALE,1,1
159,FEMALE,1,0
160,FEMALE,0,1
161,MALE,1,1
162,FEMALE,0,0
163,FEMALE,0,1
164,FEMALE,0,0
165,MALE,1,0
166,MALE,0,0
167,FEMALE,0,1
168,FEMALE,0,1
169,MALE,0,0
170,FEMALE,0,0
171,FEMALE,0,1
172,FEMALE,1,1
173,FEMALE,1,1
174,FEMALE,0,0
175,MALE,0,0
176,MALE,0,1
177,MALE,0,0
178,FEMALE,0,1
179,FEMALE,0,1
180,MALE,0,1
181,FEMALE,0,0
182,MALE,0,0
183,FEMALE,0,1
184,FEMALE,0,0
185,MALE,0,1
186,MALE,0,0
187,MALE,1,1
188,MALE,0,0
189,MALE,0,0
190,FEMALE,0,1
191,FEMALE,0,1
192,FEMALE,0,1
193,MALE,0,0
194,MALE,0,0
195,MALE,0,1
196,MALE,0,1
197,MALE,1,1
198,FEMALE,0,0
199,MALE,1,1
200,MALE,0,0
201,MALE,0,1
202,MALE,0,0
203,FEMALE,0,1
204,MALE,0,0
205,MALE,0,1
206,FEMALE,0,0
207,FEMALE,0,0
208,MALE,0,1
209,FEMALE,0,0
210,FEMALE,0,1
211,FEMALE,0,0
212,MALE,0,1
213,MALE,0,0
214,MALE,0,1
215,MALE,0,1
216,MALE,0,1
217,MALE,0,0
218,FEMALE,0,1
219,FEMALE,1,0
220,FEMALE,0,0
221,FEMALE,0,1
222,MALE,0,0
223,FEMALE,0,1
224,FEMALE,0,0
225,MALE,0,0
226,MALE,0,1
227,FEMALE,0,1
228,FEMALE,1,0
229,MALE,0,0
230,MALE,1,1
231,FEMALE,1,1
232,MALE,0,1
233,MALE,0,1
234,MALE,0,0
235,FEMALE,0,1
236,FEMALE,0,0
237,MALE,0,0
238,FEMALE,1,1
239,FEMALE,0,1
240,MALE,0,0
241,FEMALE,0,0
242,FEMALE,0,1
243,FEMALE,0,1
244,FEMALE,1,1
245,MALE,1,0
246,FEMALE,0,1
247,MALE,1,1
248,FEMALE,0,0
249,MALE,0,0
250,MALE,0,1
251,MALE,0,1
252,MALE,0,1
253,MALE,0,1
254,FEMALE,0,1
255,MALE,0,0
256,FEMALE,1,1
257,MALE,0,0
258,FEMALE,0,1
259,FEMALE,0,0
260,MALE,0,0
261,MALE,1,1
262,MALE,1,0
263,FEMALE,0,0
264,FEMALE,0,1
265,FEMALE,0,1
266,FEMALE,0,0
267,MALE,1,1
268,FEMALE,0,0
269,FEMALE,0,0
270,MALE,0,0
271,MALE,0,1
272,MALE,0,0
273,MALE,0,0
274,MALE,0,0
275,FEMALE,0,0
276,FEMALE,0,0
277,FEMALE,0,0
278,MALE,0,0
279,FEMALE,0,0
280,MALE,0,1
281,FEMALE,0,0
282,MALE,0,1
283,FEMALE,1,1
284,MALE,0,1
285,FEMALE,0,0
286,MALE,0,1
287,MALE,0,1
288,FEMALE,1,1
289,MALE,0,0
290,MALE,0,1
291,FEMALE,0,1
292,FEMALE,0,1
293,FEMALE,0,0
294,MALE,0,1
295,FEMALE,0,0
296,FEMALE,0,1
297,MALE,0,1
298,MALE,0,1
299,FEMALE,0,1
300,MALE,0,1
301,MALE,0,1
302,MALE,0,0
303,MALE,0,1
304,FEMALE,0,1
305,MALE,0,1
306,MALE,0,0
307,FEMALE,1,1
308,FEMALE,0,0
309,FEMALE,0,1
310,FEMALE,1,1
311,MALE,1,1
312,MALE,0,0
313,FEMALE,0,0
314,MALE,0,0
315,MALE,0,0
316,FEMALE,1,1
317,MALE,0,1
318,FEMALE,0,0
319,MALE,0,0
320,MALE,0,1
321,FEMALE,0,1
322,FEMALE,0,1
323,MALE,0,1
324,MALE,0,1
325,FEMALE,0,0
326,MALE,0,1
327,FEMALE,0,0
328,MALE,0,0
329,MALE,0,0
330,FEMALE,0,1
331,MALE,0,1
332,MALE,0,1
333,FEMALE,0,1
334,FEMALE,1,0
335,FEMALE,0,0
336,FEMALE,0,1
337,FEMALE,0,1
338,MALE,1,0
339,MALE,0,1
340,FEMALE,0,1
341,MALE,0,0
342,FEMALE,0,1
343,FEMALE,1,0
344,FEMALE,1,1
345,MALE,1,1
346,FEMALE,1,0
347,MALE,0,1
348,FEMALE,0,0
349,MALE,0,0
350,FEMALE,0,1
351,MALE,0,0
352,MALE,0,0
353,FEMALE,1,0
354,MALE,0,1
355,MALE,0,1
356,MALE,1,0
357,FEMALE,0,0
358,FEMALE,0,1
359,FEMALE,0,1
360,MALE,0,0
361,MALE,1,1
362,MALE,0,0
363,FEMALE,1,1
364,MALE,1,0
365,MALE,0,0
366,MALE,0,0
367,MALE,0,0
368,FEMALE,0,1
369,MALE,1,0
370,FEMALE,0,0
371,MALE,0,1
372,FEMALE,0,0
373,FEMALE,0,1
374,MALE,0,1
375,MALE,1,1
376,FEMALE,0,0
377,MALE,0,0
378,MALE,0,0
379,MALE,0,0
380,MALE,0,1
381,MALE,1,0
382,FEMALE,0,1
383,MALE,0,1
384,MALE,0,0
385,FEMALE,0,0
386,FEMALE,0,1
387,FEMALE,0,1
388,FEMALE,0,0
389,FEMALE,0,1
390,FEMALE,0,0
391,MALE,0,1
392,MALE,0,0
393,FEMALE,0,1
394,MALE,0,0
395,FEMALE,0,1
396,MALE,0,1
397,MALE,1,1
398,MALE,0,0
399,MALE,0,0
400,MALE,0,0
401,FEMALE,0,0
402,MALE,0,1
403,MALE,0,1
404,MALE,0,1
405,MALE,0,0
406,FEMALE,0,1
407,FEMALE,0,1
408,MALE,0,0
409,FEMALE,0,0
410,FEMALE,0,1
411,MALE,0,1
412,MALE,1,1
413,MALE,0,1
414,MALE,0,0
415,FEMALE,0,0
416,FEMALE,0,1
417,FEMALE,0,0
418,FEMALE,0,1
419,MALE,0,0
420,FEMALE,0,0
421,FEMALE,0,0
422,FEMALE,0,0
423,FEMALE,0,0
424,FEMALE,1,1
425,FEMALE,0,0
426,MALE,0,0
427,MALE,0,0
428,MALE,0,0
429,FEMALE,0,0
430,MALE,0,1
431,MALE,0,0
432,MALE,0,0
433,MALE,0,1
434,FEMALE,0,1
435,MALE,0,0
436,MALE,0,0
437,MALE,0,0
438,MALE,1,0
439,FEMALE,0,1
440,MALE,1,1
441,FEMALE,0,1
442,FEMALE,0,0
443,FEMALE,0,1
444,FEMALE,1,1
445,FEMALE,0,0
446,MALE,0,0
447,FEMALE,1,1
448,MALE,1,1
449,FEMALE,0,0
450,MALE,0,0
451,FEMALE,0,1
452,MALE,0,0
453,MALE,0,0
454,FEMALE,0,1
455,MALE,1,1
456,MALE,0,1
457,FEMALE,0,0
458,MALE,0,0
459,FEMALE,0,1
460,MALE,1,1
461,MALE,1,1
462,MALE,0,1
463,FEMALE,0,0
464,MALE,0,1
465,FEMALE,0,0
466,MALE,0,0
467,FEMALE,0,1
468,MALE,1,0
469,MALE,0,1
470,MALE,0,0
471,FEMALE,0,0
472,MALE,0,0
473,FEMALE,1,0
474,FEMALE,0,1
475,FEMALE,0,1
476,MALE,0,1
477,MALE,0,1
478,MALE,0,1
479,MALE,0,0
480,FEMALE,0,0
481,MALE,0,1
482,FEMALE,0,1
483,MALE,0,0
484,MALE,0,0
485,FEMALE,1,0
486,MALE,1,0
487,FEMALE,0,0
488,FEMALE,1,0
489,FEMALE,0,0
490,FEMALE,0,0
491,MALE,1,1
492,MALE,0,0
493,MALE,0,0
494,MALE,0,1
495,MALE,0,0
496,MALE,0,1
497,FEMALE,0,0
498,FEMALE,0,1
499,MALE,0,0
500,MALE,0,0
501,FEMALE,0,0
502,MALE,0,1
503,FEMALE,0,1
504,FEMALE,0,1
505,FEMALE,0,1
506,FEMALE,0,1
507,MALE,0,0
508,MALE,0,0
509,FEMALE,0,0
510,MALE,0,0
511,MALE,0,0
512,MALE,0,1
513,FEMALE,0,1
514,MALE,0,1
515,MALE,0,1
516,MALE,0,0
517,MALE,0,0
518,MALE,1,1
519,FEMALE,0,1
520,MALE,0,1
521,FEMALE,0,1
522,FEMALE,0,0
523,FEMALE,0,1
524,MALE,0,0
525,FEMALE,0,1
526,MALE,0,1
527,MALE,0,1
528,FEMALE,0,0
529,FEMALE,1,1
530,MALE,0,0
531,MALE,0,1
532,MALE,0,1
533,FEMALE,0,1
534,FEMALE,0,1
535,FEMALE,0,1
536,FEMALE,0,0
537,FEMALE,0,0
538,MALE,0,0
539,MALE,0,0
540,FEMALE,0,0
541,FEMALE,0,1
542,FEMALE,0,1
543,MALE,0,0
544,FEMALE,0,0
545,FEMALE,0,1
546,MALE,0,1
547,MALE,0,0
548,MALE,0,1
549,MALE,0,0
550,FEMALE,0,1
551,MALE,0,0
552,FEMALE,0,1
553,MALE,1,1
554,FEMALE,0,0
555,FEMALE,0,1
556,FEMALE,1,1
557,MALE,0,1
558,FEMALE,0,0
559,MALE,1,0
560,FEMALE,0,0
561,FEMALE,0,0
562,FEMALE,0,0
563,FEMALE,0,0
564,FEMALE,0,1
565,MALE,1,1
566,MALE,0,0
567,MALE,0,1
568,MALE,1,0
569,FEMALE,1,1
570,FEMALE,0,0
571,MALE,0,0
572,MALE,1,0
573,MALE,0,0
574,FEMALE,0,1
575,FEMALE,0,1
576,MALE,0,1
577,FEMALE,0,0
578,FEMALE,0,0
579,MALE,0,0
580,MALE,1,0
581,MALE,0,1
